geography type,code,description,2013,2014,2015,2016,2017
Statistical_Area_280,127900,Henderson North East,39,30,30,48,33
Statistical_Area_281,128000,Waitakere Ranges South,6,6,3,6,6
Statistical_Area_282,128100,Northcote Tuff Crater,12,6,6,9,3
Statistical_Area_283,128200,Northcote Point (Auckland,27,24,39,33,36
Statistical_Area_284,128300,McLaren Park,30,30,21,15,30
Statistical_Area_285,128400,Henderson East,6,12,9,18,15
Statistical_Area_286,128500,Te Atatu South-McLeod Sou,45,33,51,39,30
Statistical_Area_287,128600,Takapuna South,6,6,6,3,6
Statistical_Area_288,128700,Rosebank Peninsula,0,0,0,0,0
Statistical_Area_289,128800,Hauraki,15,24,15,18,21
Statistical_Area_290,128900,Glendene North,21,15,21,30,15
Statistical_Area_291,129000,Sunnyvale West-Parrs Park,9,3,9,9,9
Statistical_Area_292,129100,Sunnyvale East,21,33,30,30,33
Statistical_Area_293,129200,Point Chevalier West,81,84,87,72,81
Statistical_Area_294,129300,Belmont (Auckland),24,36,27,21,30
Statistical_Area_295,129400,Bayswater,12,12,12,9,12
Statistical_Area_296,129500,Glendene South,9,9,12,9,15
Statistical_Area_297,129600,Glen Eden West,18,21,18,30,33
Statistical_Area_298,129700,Herne Bay,15,21,18,27,18
Statistical_Area_299,129800,Westmere North,15,12,24,24,24
Statistical_Area_300,129900,Point Chevalier East,15,12,12,12,24
Statistical_Area_301,130000,Oratia,9,6,3,9,9
Statistical_Area_302,130100,Glen Eden Rosier,15,15,9,9,6
Statistical_Area_303,130200,Saint Marys Bay,24,27,21,33,24
Statistical_Area_304,130300,Westmere South-Western Sp,6,15,9,9,9
Statistical_Area_305,130400,Ponsonby West,9,9,9,6,6
Statistical_Area_306,130500,Kelston North,9,12,15,18,12
Statistical_Area_307,130600,Avondale Rosebank,18,21,27,30,33
Statistical_Area_308,130700,Narrow Neck,21,18,30,21,27
Statistical_Area_309,130800,Glen Eden North,9,9,12,9,21
Statistical_Area_310,130900,Glen Eden Woodglen,15,24,9,18,12
Statistical_Area_311,131000,Kelston South,9,12,9,12,12
Statistical_Area_312,131100,Waterview,15,15,12,15,12
Statistical_Area_313,131200,Ponsonby East,9,9,12,9,18
Statistical_Area_314,131300,Wynyard-Viaduct,0,0,3,0,6
Statistical_Area_315,131400,Stanley Point,6,6,6,6,9
Statistical_Area_316,131500,Glen Eden Central,18,15,9,18,15
Statistical_Area_317,131600,Grey Lynn North,12,9,6,6,6
Statistical_Area_318,131700,Avondale West (Auckland),15,18,15,18,15
Statistical_Area_319,131800,Freemans Bay,6,9,6,15,15
Statistical_Area_320,131900,Mount Albert West,15,24,30,33,33
Statistical_Area_321,132000,Avondale North (Auckland),12,21,24,15,15
Statistical_Area_322,132100,Grey Lynn West,15,6,9,6,12
Statistical_Area_323,132200,Mount Albert North,15,15,15,12,9
Statistical_Area_324,132300,New Lynn North,15,6,18,18,18
Statistical_Area_325,132400,Victoria Park,0,0,0,3,0
Statistical_Area_326,132500,Konini,21,9,3,12,12
Statistical_Area_327,132600,New Lynn North West,12,9,15,12,18
Statistical_Area_328,132700,Hobson Ridge North,0,3,9,3,6
Statistical_Area_329,132800,Grey Lynn Central,9,6,12,6,9
Statistical_Area_330,132900,Fruitvale,9,21,12,12,12
Statistical_Area_331,133000,Devonport,12,15,27,12,9
Statistical_Area_332,133100,Avondale Central (Aucklan,30,30,27,27,42
Statistical_Area_333,133200,Queen Street,3,6,0,3,0
